Game,Game Time,Team,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge
Wisconsin Badgers vs. Montana Grizzlies,Mar 20 01:30PM ET,Montana Grizzlies,17,0.4879762895230427,17.0,-0.035833234286481164,1.3,16.3,18.0,16.0,18.6,0.07461905135078863,1100,0.07987220447284345,-0.008714281982544689,0.01,0.08,0.06,0.0693658982287338,152,153.0,1.7,153.0,152.0,149.608816113026,149.65,0.4668677624,0.5267366386,-0.05694176140952384,0.0029271147904761374
Wisconsin Badgers vs. Montana Grizzlies,Mar 20 01:30PM ET,Wisconsin Badgers,-17,0.4681308584300018,-17.0,-0.05567866537952204,1.3,-16.3,-18.0,-16.0,-18.6,0.9253809486492113,-2400,0.9201277955271566,-0.03461905135078869,0.01,0.92,0.94,0.930634101771266,152,153.0,1.7,153.0,152.0,149.608816113026,149.65,0.4668677624,0.5267366386,-0.05694176140952384,0.0029271147904761374
Houston Cougars vs. SIU-Edwardsville Cougars,Mar 20 02:00PM ET,SIU-Edwardsville Cougars,28,0.4119441042802332,28.5,-0.11186541952929063,1.8,,24.0,26.6,27.4,0.020557019183787023,2847,0.033087142564776045,-0.013379632399923388,0.003,,0.01,0.006053791605596,126,126.5,1.0,,126.0,125.896048457809,127.68,0.504653591,0.4889511927,-0.01915593280952388,-0.034858331109523855
Houston Cougars vs. SIU-Edwardsville Cougars,Mar 20 02:00PM ET,Houston Cougars,-28,0.5880558957197667,-28.5,0.06424637191024285,1.8,,-24.0,-26.6,-27.4,0.979442980816213,-12004,0.9669128574352239,-0.012295265856136384,0.003,,0.99,0.993946208394404,126,126.5,1.0,,126.0,125.896048457809,127.68,0.504653591,0.4889511927,-0.01915593280952388,-0.034858331109523855
Auburn Tigers vs. Alabama St Hornets,Mar 20 02:50PM ET,Alabama St Hornets,32,0.3219374541157705,32.0,-0.19959364636269833,1.6,30.4,,32.0,33.5,0.020063734352757205,2750,0.034225686208065056,-0.015023984945488407,0.006,0.01,,0.0018035649948987,148,149.5,2.2,151.0,,147.092973549095,147.26,0.4660777306,0.5275128161,-0.0666325497738317,0.01531769414878048
Auburn Tigers vs. Alabama St Hornets,Mar 20 02:50PM ET,Auburn Tigers,-32,0.6398890075181252,-32.0,0.1138226568072247,1.6,-30.4,,-32.0,-33.5,0.9799362656472427,-10000,0.9657743137919348,-0.010162744253747413,0.006,0.99,,0.998196435005101,148,149.5,2.2,151.0,,147.092973549095,147.26,0.4660777306,0.5275128161,-0.0666325497738317,0.01531769414878048
Clemson Tigers vs. McNeese Cowboys,Mar 20 03:15PM ET,McNeese Cowboys,7,0.5233321306719767,7.5,-0.000477393137547133,1.1,,6.0,6.3,8.1,0.2658008055867156,277,0.25406618059450364,0.0008885248849612171,0.003,,0.28,0.275070861157855,135,133.5,1.3,,136.0,136.623652180125,134.11,0.527770686,0.4658201557,0.003961162190476153,-0.05798936810952382
Clemson Tigers vs. McNeese Cowboys,Mar 20 03:15PM ET,Clemson Tigers,-7,0.4766678693280233,-7.5,-0.04714165448150054,1.1,,-6.0,-6.3,-8.1,0.7341991944132844,-350,0.7459338194054963,-0.043578583364493384,0.003,,0.72,0.724929138842145,135,133.5,1.3,,136.0,136.623652180125,134.11,0.527770686,0.4658201557,0.003961162190476153,-0.05798936810952382
BYU Cougars vs. VCU Rams,Mar 20 04:05PM ET,BYU Cougars,-2,0.4930845416832174,-2.5,-0.02614622754755186,1.6,,-1.0,-0.2,-3.2,0.5457851719017525,-142,0.5634920634920635,-0.04099168760237981,0.031,,0.55,0.506156560622883,146,146.5,0.5,,147.0,146.464745011748,145.93,0.4817812784,0.5117851277,-0.04202824540952382,-0.012024396109523883
BYU Cougars vs. VCU Rams,Mar 20 04:05PM ET,VCU Rams,2,0.5069154583167825,2.5,-0.016894065492741306,1.6,,1.0,0.2,3.2,0.4542148280982474,120,0.43650793650793646,-0.0003306264472071052,0.031,,0.4499999999999999,0.493843439377117,146,146.5,0.5,,147.0,146.464745011748,145.93,0.4817812784,0.5117851277,-0.04202824540952382,-0.012024396109523883
Gonzaga Bulldogs vs. Georgia Bulldogs,Mar 20 04:35PM ET,Gonzaga Bulldogs,-6,0.4781711415685151,-6.5,-0.045638382241008746,1.8,-4.2,-6.0,-8.5,-6.0,0.7026512455516014,-300,0.7153024911032029,-0.04734875444839859,0.061,0.66,0.69,0.778015551807096,150,150.5,1.4,150.0,150.0,152.698495338381,149.88,0.4822813585,0.5112981258,-0.04152816530952386,-0.012511398009523833
Gonzaga Bulldogs vs. Georgia Bulldogs,Mar 20 04:35PM ET,Georgia Bulldogs,6,0.5218288584314849,6.5,-0.0019806653780389816,1.8,4.2,6.0,8.5,6.0,0.2973487544483986,235,0.2846975088967971,-0.0011587082381685487,0.061,0.34,0.31,0.221984448192904,150,150.5,1.4,150.0,150.0,152.698495338381,149.88,0.4822813585,0.5112981258,-0.04152816530952386,-0.012511398009523833
Tennessee Volunteers vs. Wofford Terriers,Mar 20 06:50PM ET,Tennessee Volunteers,-18,0.4300781549734255,-19.0,-0.09373136883609834,1.2,,-17.0,-17.1,-19.1,0.9399299888195112,-3734,0.934918124045791,-0.03398600034038046,0.007,,0.94,0.949883707186463,134,133.5,0.8,,135.0,135.677035650911,136.52,0.5133343571000001,0.4802423696,-0.010475166709523753,-0.04356715420952384
Tennessee Volunteers vs. Wofford Terriers,Mar 20 06:50PM ET,Wofford Terriers,18,0.5267591962158764,19.0,0.002949672406352577,1.2,,17.0,17.1,19.1,0.06007001118048884,1375,0.06508187595420899,-0.0077265989890026865,0.007,,0.06,0.0501162928135374,134,133.5,0.8,,135.0,135.677035650911,136.52,0.5133343571000001,0.4802423696,-0.010475166709523753,-0.04356715420952384
Kansas Jayhawks vs. Arkansas Razorbacks,Mar 20 07:10PM ET,Kansas Jayhawks,-5,0.479550679111103,-5.0,-0.04425884469842084,1.0,-4.4,-4.0,-6.2,-5.3,0.6637376130978028,-218,0.6574752261956054,-0.021796978097165742,0.036,0.67,0.64,0.710797698432335,144,145.5,1.4,142.0,142.0,144.628653575038,143.99,0.4721451434,0.5214269441,-0.051664380409523813,-0.0023825797095238244
Kansas Jayhawks vs. Arkansas Razorbacks,Mar 20 07:10PM ET,Arkansas Razorbacks,5,0.4703014090947542,5.0,-0.05350811471476963,1.0,4.4,4.0,6.2,5.3,0.33626238690219734,180,0.34252477380439467,-0.02088047024065981,0.036,0.33,0.36,0.289202301567665,144,145.5,1.4,142.0,142.0,144.628653575038,143.99,0.4721451434,0.5214269441,-0.051664380409523813,-0.0023825797095238244
Texas A&M Aggies vs. Yale Bulldogs,Mar 20 07:25PM ET,Texas A&M Aggies,-8,0.5227089264040501,-7.5,-0.0011005974054737466,2.1,,-8.0,-5.6,-9.8,0.7367631271017716,-345,0.7362181387077652,-0.03851777177463289,0.06,,0.78,0.694616230991556,140,139.0,1.9,,142.0,142.353313151695,138.92000000000002,0.5169337192,0.4766317083,-0.006875804609523861,-0.047177815509523824
Texas A&M Aggies vs. Yale Bulldogs,Mar 20 07:25PM ET,Yale Bulldogs,8,0.4772910735959498,7.5,-0.046518450213574036,2.1,,8.0,5.6,9.8,0.26323687289822834,260,0.26378186129223474,-0.014540904879549454,0.06,,0.2199999999999999,0.305383769008444,140,139.0,1.9,,142.0,142.353313151695,138.92000000000002,0.5169337192,0.4766317083,-0.006875804609523861,-0.047177815509523824
Missouri Tigers vs. Drake Bulldogs,Mar 20 07:35PM ET,Drake Bulldogs,6,0.5218288584314849,6.5,-0.0019806653780389816,2.1,6.3,6.0,2.8,7.8,0.294402390438247,220,0.298804780876494,-0.018097609561752992,0.073,0.25,0.29,0.392481816051104,134,133.0,1.7,134.0,136.0,137.739839616039,134.46,0.5196746764,0.4739091861,-0.004134847409523856,-0.047621914378468855
Missouri Tigers vs. Drake Bulldogs,Mar 20 07:35PM ET,Missouri Tigers,-6,0.4781711415685151,-6.5,-0.045638382241008746,2.1,-6.3,-6.0,-2.8,-7.8,0.7055976095617529,-275,0.7011952191235059,-0.0277357237715804,0.073,0.75,0.71,0.607518183948896,134,133.0,1.7,134.0,136.0,137.739839616039,134.46,0.5196746764,0.4739091861,-0.004134847409523856,-0.047621914378468855
UCLA Bruins vs. Utah State Aggies,Mar 20 09:25PM ET,UCLA Bruins,-5,0.479550679111103,-5.5,-0.04198042136736585,0.6,,-5.0,-6.0,-4.9,0.6807747161631479,-239,0.6753021086150048,-0.024237466224600213,0.037,,0.66,0.712494647422582,146,144.0,0.3,,147.0,147.544417619779,147.47,0.5201298958999999,0.4734381447,-0.0036796279095239193,-0.05037137910952383
UCLA Bruins vs. Utah State Aggies,Mar 20 09:25PM ET,Utah State Aggies,5,0.5204493208888971,5.5,-0.003360202920626776,0.6,,5.0,6.0,4.9,0.3192252838368521,195,0.3246978913849953,-0.019757767010605498,0.037,,0.3399999999999999,0.287505352577418,146,144.0,0.3,,147.0,147.544417619779,147.47,0.5201298958999999,0.4734381447,-0.0036796279095239193,-0.05037137910952383
St. John's Red Storm vs. Omaha Mavericks,Mar 20 09:45PM ET,Omaha Mavericks,18,0.5267591962158764,18.5,0.002949672406352577,2.1,14.7,19.0,19.0,16.7,0.05949578204032795,1290,0.0689915640806559,-0.012450387731928782,0.025,0.09,0.05,0.043720793541503,148,148.0,0.8,148.0,147.0,148.068148477573,148.82999999999998,0.491538568,0.5020280359,-0.03227095580952383,-0.021781487909523833
St. John's Red Storm vs. Omaha Mavericks,Mar 20 09:45PM ET,St. John's Red Storm,-18,0.4732408037841235,-18.5,-0.05056872002540036,2.1,-14.7,-19.0,-19.0,-16.7,0.9405042179596721,-3334,0.9310084359193441,-0.030375220456148933,0.025,0.91,0.95,0.956279206458497,148,148.0,0.8,148.0,147.0,148.068148477573,148.82999999999998,0.491538568,0.5020280359,-0.03227095580952383,-0.021781487909523833
Michigan Wolverines vs. UC San Diego Tritons,Mar 20 10:00PM ET,Michigan Wolverines,-2,0.4930845416832174,-2.5,-0.02844655879525143,0.8,,-3.0,-1.8,-1.4,0.5714796117648865,-140,0.5597945707997065,-0.011853721568446884,0.024,,0.6,0.566329305460133,142,142.5,1.1,,141.0,142.69721655116,140.57,0.4880954871,0.5054618912,-0.03571403670952383,-0.01834763260952388
