Home Team,Away Team,Team,Game Date,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya
Houston,BYU,Houston,2025-03-14,-6.7,0.73811304141912,137.010151076868
Houston,BYU,BYU,2025-03-14,6.7,0.26188695858088,137.010151076868
Texas Tech,Arizona,Texas Tech,2025-03-14,-2.8,0.599316389804854,153.874275211205
Texas Tech,Arizona,Arizona,2025-03-14,2.8,0.400683610195146,153.874275211205
Duke,North Carolina,Duke,2025-03-14,-12.2,0.865549434280973,154.791245627405
Duke,North Carolina,North Carolina,2025-03-14,12.2,0.134450565719027,154.791245627405
Auburn,Ole Miss,Auburn,2025-03-14,-10.4,0.829210122481198,153.774569959517
Auburn,Ole Miss,Ole Miss,2025-03-14,10.4,0.170789877518802,153.774569959517
Florida,Missouri,Florida,2025-03-14,-8.8,0.785508316773049,158.436974356015
Florida,Missouri,Missouri,2025-03-14,8.8,0.214491683226951,158.436974356015
Alabama,Kentucky,Alabama,2025-03-14,-8,0.753770625929139,178.479094607611
Alabama,Kentucky,Kentucky,2025-03-14,8,0.246229374070861,178.479094607611
Saint John's,Marquette,Saint John's,2025-03-14,-6.1,0.709734520606631,142.526302410799
Saint John's,Marquette,Marquette,2025-03-14,6.1,0.290265479393369,142.526302410799
Maryland,Illinois,Maryland,2025-03-14,-3.2,0.612125047432842,155.154017133913
Maryland,Illinois,Illinois,2025-03-14,3.2,0.387874952567158,155.154017133913
UCLA,Wisconsin,UCLA,2025-03-14,1.7,0.436381091808098,140.482611023587
UCLA,Wisconsin,Wisconsin,2025-03-14,-1.7,0.563618908191902,140.482611023587
Tennessee,Texas,Tennessee,2025-03-14,-8.9,0.798783137782293,136.234021972362
Tennessee,Texas,Texas,2025-03-14,8.9,0.201216862217707,136.234021972362
Louisville,Clemson,Louisville,2025-03-14,1,0.464104031877653,140.489252776835
Louisville,Clemson,Clemson,2025-03-14,-1,0.535895968122347,140.489252776835
Michigan State,Oregon,Michigan State,2025-03-14,-5.2,0.683040980878142,140.985157111986
Michigan State,Oregon,Oregon,2025-03-14,5.2,0.316959019121858,140.985157111986
Michigan,Purdue,Michigan,2025-03-14,4.7,0.331494078188685,148.048218986101
Michigan,Purdue,Purdue,2025-03-14,-4.7,0.668505921811315,148.048218986101
Creighton,Connecticut,Creighton,2025-03-14,1.9,0.4291100363458,143.293029126815
Creighton,Connecticut,Connecticut,2025-03-14,-1.9,0.5708899636542,143.293029126815
New Mexico,Boise State,New Mexico,2025-03-14,-2.5,0.586653161112353,146.925130157277
New Mexico,Boise State,Boise State,2025-03-14,2.5,0.413346838887647,146.925130157277
Colorado State,Utah State,Colorado State,2025-03-14,-1.1,0.540049194090292,150.365282406584
Colorado State,Utah State,Utah State,2025-03-14,1.1,0.459950805909708,150.365282406584
Memphis,Wichita State,Memphis,2025-03-14,-8,0.76548040277579,147.260406231848
Memphis,Wichita State,Wichita State,2025-03-14,8,0.23451959722421,147.260406231848
UC San Diego,UC Santa Barbara,UC San Diego,2025-03-14,-10.9,0.844786922135901,140.825957844091
UC San Diego,UC Santa Barbara,UC Santa Barbara,2025-03-14,10.9,0.155213077864099,140.825957844091
Liberty,Kennesaw State,Liberty,2025-03-14,-7.1,0.742796851403846,142.670311884769
Liberty,Kennesaw State,Kennesaw State,2025-03-14,7.1,0.257203148596154,142.670311884769
Grand Canyon,California Baptist,Grand Canyon,2025-03-14,-6.9,0.735584020313853,142.705364506886
Grand Canyon,California Baptist,California Baptist,2025-03-14,6.9,0.264415979686147,142.705364506886
Utah Valley,Seattle,Utah Valley,2025-03-14,-2.2,0.580578394804104,131.890943616375
Utah Valley,Seattle,Seattle,2025-03-14,2.2,0.419421605195896,131.890943616375
UC Irvine,Cal Poly,UC Irvine,2025-03-14,-11.7,0.847822795766339,153.819714891116
UC Irvine,Cal Poly,Cal Poly,2025-03-14,11.7,0.152177204233661,153.819714891116
Tulane,Florida Atlantic,Tulane,2025-03-14,2.5,0.410946747209641,149.742884591187
Tulane,Florida Atlantic,Florida Atlantic,2025-03-14,-2.5,0.589053252790359,149.742884591187
UAB,East Carolina,UAB,2025-03-14,-5.5,0.694967969007131,154.389254438338
UAB,East Carolina,East Carolina,2025-03-14,5.5,0.305032030992869,154.389254438338
North Texas,Tulsa,North Texas,2025-03-14,-13,0.89671286752946,127.284655404991
North Texas,Tulsa,Tulsa,2025-03-14,13,0.10328713247054,127.284655404991
Miami (Ohio),Kent State,Miami (Ohio),2025-03-14,2.7,0.402615381028834,142.439424636779
Miami (Ohio),Kent State,Kent State,2025-03-14,-2.7,0.597384618971166,142.439424636779
