Home Team,Away Team,Team,Game Date,spread_kenpom,win_prob_kenpom,projected_total_kenpom
Alabama,Kentucky,Alabama,20250314,-4,0.62,180
Alabama,Kentucky,Kentucky,20250314,4,0.38,180
Texas Tech,Arizona,Texas Tech,20250314,-2,0.57,154
Texas Tech,Arizona,Arizona,20250314,2,0.43000000000000005,154
Maryland,Illinois,Maryland,20250314,-1,0.52,159
Maryland,Illinois,Illinois,20250314,1,0.48,159
UCLA,Wisconsin,UCLA,20250314,2,0.43000000000000005,142
UCLA,Wisconsin,Wisconsin,20250314,-2,0.57,142
Louisville,Clemson,Louisville,20250314,1,0.45999999999999996,141
Louisville,Clemson,Clemson,20250314,-1,0.54,141
Michigan,Purdue,Michigan,20250314,3,0.4,149
Michigan,Purdue,Purdue,20250314,-3,0.6,149
Florida,Missouri,Florida,20250314,-6,0.73,162
Florida,Missouri,Missouri,20250314,6,0.27,162
St. John's,Marquette,St. John's,20250314,-4,0.64,142
St. John's,Marquette,Marquette,20250314,4,0.36,142
Creighton,Connecticut,Creighton,20250314,1,0.47,145
Creighton,Connecticut,Connecticut,20250314,-1,0.53,145
Michigan St.,Oregon,Michigan St.,20250314,-4,0.67,142
Michigan St.,Oregon,Oregon,20250314,4,0.32999999999999996,142
New Mexico,Boise St.,New Mexico,20250314,-1,0.53,149
New Mexico,Boise St.,Boise St.,20250314,1,0.47,149
Houston,BYU,Houston,20250314,-7,0.75,139
Houston,BYU,BYU,20250314,7,0.25,139
Colorado St.,Utah St.,Colorado St.,20250314,-1,0.51,153
Colorado St.,Utah St.,Utah St.,20250314,1,0.49,153
Auburn,Mississippi,Auburn,20250314,-9,0.81,155
Auburn,Mississippi,Mississippi,20250314,9,0.18999999999999995,155
Tennessee,Texas,Tennessee,20250314,-9,0.79,135
Tennessee,Texas,Texas,20250314,9,0.20999999999999996,135
Dayton,Saint Joseph's,Dayton,20250314,-1,0.52,147
Dayton,Saint Joseph's,Saint Joseph's,20250314,1,0.48,147
Duke,North Carolina,Duke,20250314,-14,0.89,154
Duke,North Carolina,North Carolina,20250314,14,0.10999999999999999,154
George Mason,George Washington,George Mason,20250314,-3,0.59,127
George Mason,George Washington,George Washington,20250314,3,0.41000000000000003,127
Loyola Chicago,Saint Louis,Loyola Chicago,20250314,1,0.47,143
Loyola Chicago,Saint Louis,Saint Louis,20250314,-1,0.53,143
Jacksonville St.,Middle Tennessee,Jacksonville St.,20250314,1,0.49,143
Jacksonville St.,Middle Tennessee,Middle Tennessee,20250314,-1,0.51,143
VCU,St. Bonaventure,VCU,20250314,-9,0.8,131
VCU,St. Bonaventure,St. Bonaventure,20250314,9,0.19999999999999996,131
Tulane,Florida Atlantic,Tulane,20250314,3,0.41000000000000003,151
Tulane,Florida Atlantic,Florida Atlantic,20250314,-3,0.59,151
Utah Valley,Seattle,Utah Valley,20250314,-1,0.55,135
Utah Valley,Seattle,Seattle,20250314,1,0.44999999999999996,135
Liberty,Kennesaw St.,Liberty,20250314,-7,0.75,141
Liberty,Kennesaw St.,Kennesaw St.,20250314,7,0.25,141
UAB,East Carolina,UAB,20250314,-3,0.62,157
UAB,East Carolina,East Carolina,20250314,3,0.38,157
Miami OH,Kent St.,Miami OH,20250314,3,0.42000000000000004,143
Miami OH,Kent St.,Kent St.,20250314,-3,0.58,143
Grand Canyon,Cal Baptist,Grand Canyon,20250314,-5,0.67,143
Grand Canyon,Cal Baptist,Cal Baptist,20250314,5,0.32999999999999996,143
Memphis,Wichita St.,Memphis,20250314,-10,0.81,148
Memphis,Wichita St.,Wichita St.,20250314,10,0.18999999999999995,148
UC San Diego,UC Santa Barbara,UC San Diego,20250314,-10,0.82,140
UC San Diego,UC Santa Barbara,UC Santa Barbara,20250314,10,0.18000000000000005,140
UC Irvine,Cal Poly,UC Irvine,20250314,-11,0.83,155
UC Irvine,Cal Poly,Cal Poly,20250314,11,0.17000000000000004,155
Quinnipiac,Iona,Quinnipiac,20250314,-3,0.61,143
Quinnipiac,Iona,Iona,20250314,3,0.39,143
Jackson St.,Bethune Cookman,Jackson St.,20250314,-1,0.56,141
Jackson St.,Bethune Cookman,Bethune Cookman,20250314,1,0.43999999999999995,141
Merrimack,Mount St. Mary's,Merrimack,20250314,-4,0.64,130
Merrimack,Mount St. Mary's,Mount St. Mary's,20250314,4,0.36,130
Akron,Toledo,Akron,20250314,-9,0.8,169
Akron,Toledo,Toledo,20250314,9,0.19999999999999996,169
Alabama St.,Grambling St.,Alabama St.,20250314,-3,0.6,133
Alabama St.,Grambling St.,Grambling St.,20250314,3,0.4,133
South Carolina St.,North Carolina Central,South Carolina St.,20250314,-7,0.75,147
South Carolina St.,North Carolina Central,North Carolina Central,20250314,7,0.25,147
North Texas,Tulsa,North Texas,20250314,-13,0.87,125
North Texas,Tulsa,Tulsa,20250314,13,0.13,125
Norfolk St.,Morgan St.,Norfolk St.,20250314,-10,0.82,158
Norfolk St.,Morgan St.,Morgan St.,20250314,10,0.18000000000000005,158
Cornell,Dartmouth,Cornell,20250315,-4,0.65,158
Cornell,Dartmouth,Dartmouth,20250315,4,0.35,158
Yale,Princeton,Yale,20250315,-9,0.79,147
Yale,Princeton,Princeton,20250315,9,0.20999999999999996,147
Bryant,Maine,Bryant,20250315,-6,0.7,144
Bryant,Maine,Maine,20250315,6,0.30000000000000004,144
Alabama,Kentucky,Alabama,20250314,-4,0.62,180
Alabama,Kentucky,Kentucky,20250314,4,0.38,180
Texas Tech,Arizona,Texas Tech,20250314,-2,0.57,154
Texas Tech,Arizona,Arizona,20250314,2,0.43000000000000005,154
Maryland,Illinois,Maryland,20250314,-1,0.52,159
Maryland,Illinois,Illinois,20250314,1,0.48,159
UCLA,Wisconsin,UCLA,20250314,2,0.43000000000000005,142
UCLA,Wisconsin,Wisconsin,20250314,-2,0.57,142
Louisville,Clemson,Louisville,20250314,1,0.45999999999999996,141
Louisville,Clemson,Clemson,20250314,-1,0.54,141
Michigan,Purdue,Michigan,20250314,3,0.4,149
Michigan,Purdue,Purdue,20250314,-3,0.6,149
Florida,Missouri,Florida,20250314,-6,0.73,162
Florida,Missouri,Missouri,20250314,6,0.27,162
St. John's,Marquette,St. John's,20250314,-4,0.64,142
St. John's,Marquette,Marquette,20250314,4,0.36,142
Creighton,Connecticut,Creighton,20250314,1,0.47,145
Creighton,Connecticut,Connecticut,20250314,-1,0.53,145
Michigan St.,Oregon,Michigan St.,20250314,-4,0.67,142
Michigan St.,Oregon,Oregon,20250314,4,0.32999999999999996,142
New Mexico,Boise St.,New Mexico,20250314,-1,0.53,149
New Mexico,Boise St.,Boise St.,20250314,1,0.47,149
Houston,BYU,Houston,20250314,-7,0.75,139
Houston,BYU,BYU,20250314,7,0.25,139
Colorado St.,Utah St.,Colorado St.,20250314,-1,0.51,153
