Game,Game Time,Home Team,Away Team,Team,Moneyline,Devigged Probability,Opening Spread,Spread Price,Projected Total,Over Point,Over Price,Under Point,Under Price
Auburn Tigers vs. Ole Miss Rebels,Mar 14 01:00PM ET,Auburn Tigers,Ole Miss Rebels,Auburn Tigers,-809.8901098901096,0.858119868998188,-12.0,-110.0,154.5,154.5,-110.0,154.5,-110.0
Auburn Tigers vs. Ole Miss Rebels,Mar 14 01:00PM ET,Auburn Tigers,Ole Miss Rebels,Ole Miss Rebels,579.4996320824135,0.14188013100181204,12.0,-110.0,154.5,154.5,-110.0,154.5,-110.0
Memphis Tigers vs. Wichita St Shockers,Mar 14 01:00PM ET,Memphis Tigers,Wichita St Shockers,Memphis Tigers,-467.48898678414105,0.7902994371243452,-9.0,-110.0,147.0,147.0,-110.0,147.0,-110.0
Memphis Tigers vs. Wichita St Shockers,Mar 14 01:00PM ET,Memphis Tigers,Wichita St Shockers,Wichita St Shockers,357.48633879781426,0.2097005628756547,9.0,-110.0,147.0,147.0,-110.0,147.0,-110.0
Alabama St Hornets vs. Grambling St Tigers,Mar 14 02:00PM ET,Alabama St Hornets,Grambling St Tigers,Alabama St Hornets,-145.0,0.5711159737417943,-2.5,-110.5,127.5,127.5,-110.0,127.5,-110.0
Alabama St Hornets vs. Grambling St Tigers,Mar 14 02:00PM ET,Alabama St Hornets,Grambling St Tigers,Grambling St Tigers,125.00000000000001,0.42888402625820565,2.5,-109.5,127.5,127.5,-110.0,127.5,-110.0
Loyola (Chi) Ramblers vs. Saint Louis Billikens,Mar 14 02:00PM ET,Loyola (Chi) Ramblers,Saint Louis Billikens,Saint Louis Billikens,105.0,0.4675324675324675,2.0,-110.0,141.5,141.5,-110.0,141.5,-110.0
Loyola (Chi) Ramblers vs. Saint Louis Billikens,Mar 14 02:00PM ET,Loyola (Chi) Ramblers,Saint Louis Billikens,Loyola (Chi) Ramblers,-125.00000000000001,0.5324675324675325,-2.0,-110.0,141.5,141.5,-110.0,141.5,-110.0
UCLA Bruins vs. Wisconsin Badgers,Mar 14 02:30PM ET,UCLA Bruins,Wisconsin Badgers,Wisconsin Badgers,-125.00000000000001,0.5324675324675325,-1.5,-110.0,141.5,141.5,-110.0,141.5,-110.0
UCLA Bruins vs. Wisconsin Badgers,Mar 14 02:30PM ET,UCLA Bruins,Wisconsin Badgers,UCLA Bruins,105.0,0.4675324675324675,1.5,-110.0,141.5,141.5,-110.0,141.5,-110.0
